dataset,path,class_id,target_index,target_label,predicted_index,predicted_class,top1_confidence,is_correct
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00009111.JPEG,n01440764,0,tench,0,tench,0.6717196106910706,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00009191.JPEG,n01440764,0,tench,0,tench,0.5346407890319824,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00017472.JPEG,n01440764,0,tench,0,tench,0.4114393889904022,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00017700.JPEG,n01440764,0,tench,0,tench,0.4742364287376404,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00021740.JPEG,n01440764,0,tench,0,tench,0.5185855627059937,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00029930.JPEG,n01440764,0,tench,0,tench,0.37520793080329895,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00030740.JPEG,n01440764,0,tench,0,tench,0.6016077995300293,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00037861.JPEG,n01440764,0,tench,0,tench,0.45089051127433777,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00045880.JPEG,n01440764,0,tench,0,tench,0.3542792797088623,True
imagenette,data/imagenette2-320/val/n01440764/ILSVRC2012_val_00046252.JPEG,n01440764,0,tench,0,tench,0.4882473647594452,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10040.JPEG,n01440764,0,tench,0,tench,0.3454473316669464,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10042.JPEG,n01440764,0,tench,389,barracouta,0.1966635137796402,False
imagenette,data/imagenette2-320/val/n01440764/n01440764_10110.JPEG,n01440764,0,tench,0,tench,0.43598008155822754,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10120.JPEG,n01440764,0,tench,0,tench,0.37299197912216187,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10150.JPEG,n01440764,0,tench,0,tench,0.5883421301841736,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10162.JPEG,n01440764,0,tench,0,tench,0.42258018255233765,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10211.JPEG,n01440764,0,tench,0,tench,0.27150100469589233,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10251.JPEG,n01440764,0,tench,0,tench,0.5408387184143066,True
imagenette,data/imagenette2-320/val/n01440764/n01440764_10281.JPEG,n01440764,0,tench,0,tench,0.5104019045829773,True
